"username","source_type","source","html_url","state","created_at","closed_at","repository","title","type"
"Bisaloo","org","r-lib","https://github.com/r-lib/backports/pull/88","open",2025-05-30 18:46:03,NA,"r-lib/backports","Add backport for `grepv()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2859","closed",2025-05-30 13:12:23,NA,"r-lib/lintr","Add new R 4.5.0 functions to backport_linter & update relative version names","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/commonmark/issues/38","open",2025-04-09 08:54:59,NA,"r-lib/commonmark","`_` in math expressions doesn't get parsed correctly when surrounded by curly braces","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2834","closed",2025-03-12 18:02:19,NA,"r-lib/lintr","Create list2df_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2833","closed",2025-03-12 13:43:00,NA,"r-lib/lintr","Make `backport_linter(r_version = )` default and options more explicit","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/actions/pull/989","closed",2025-03-10 17:03:40,NA,"r-lib/actions","Fix typo in pak-version param description","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/remotes/pull/826","closed",2025-02-25 14:54:51,NA,"r-lib/remotes","Add support for ubuntu 24.04","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/issues/2858","closed",2025-02-24 11:10:12,NA,"r-lib/pkgdown","New logo sizes for realfavicongenerator","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/pull/2803","closed",2024-10-25 13:03:06,NA,"r-lib/pkgdown","Delay check on bs version for building quarto articles","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/issues/2802","closed",2024-10-25 12:59:02,NA,"r-lib/pkgdown","""! Quarto articles require Bootstrap 5."" with no quarto articles","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/issues/2800","closed",2024-10-21 16:19:17,NA,"r-lib/pkgdown","Incomplete sentence in error message","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/rig/pull/251","closed",2024-09-27 09:50:26,NA,"r-lib/rig","Fix typo","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2647","closed",2024-08-08 08:35:12,NA,"r-lib/lintr","call. argument should not be added for custom conditions","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2634","closed",2024-07-22 12:30:46,NA,"r-lib/lintr","Add base pipe to `backport_linter()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/issues/2699","closed",2024-07-06 15:13:48,NA,"r-lib/pkgdown","Invalid ""use pkgdown::clean_site()"" advice","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2621","open",2024-06-22 12:54:28,NA,"r-lib/lintr","First draft for in_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2618","closed",2024-06-21 07:57:49,NA,"r-lib/lintr","Add potential `sequence()` lints to `seq_linter()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/pull/2669","closed",2024-06-19 10:23:06,NA,"r-lib/pkgdown","Fix typo which prevents finding templates","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/pull/2653","closed",2024-06-10 19:01:06,NA,"r-lib/pkgdown","Fix typo in NEWS","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2596","closed",2024-06-07 12:43:57,NA,"r-lib/lintr","New linter to recommend `list2DF()` base R function","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2595","closed",2024-06-07 12:29:33,NA,"r-lib/lintr","Extend seq_linter() to recommend `sequence()` base R function","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/usethis/issues/1972","closed",2024-04-03 09:23:18,NA,"r-lib/usethis","Use existing R versions for minimum required version","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/rcmdcheck/pull/219","open",2023-12-15 17:53:55,NA,"r-lib/rcmdcheck","Set _R_CHECK_CRAN_INCOMING_NOTE_GNU_MAKE_ to true","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2440","closed",2023-12-14 09:31:55,NA,"r-lib/lintr","Mention and link to correct fct in use_lintr()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2411","closed",2023-12-10 13:57:07,NA,"r-lib/lintr","Handle comparison to negative non-integer in expect_identical_linter","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2410","closed",2023-12-10 13:37:50,NA,"r-lib/lintr","`expect_identical_linter()` doesn't skip cases with negative numeric constant","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2377","closed",2023-12-01 14:25:17,NA,"r-lib/lintr","Add `call. = FALSE` to `warning()` & `stop()` calls","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2310","closed",2023-11-18 10:12:45,NA,"r-lib/lintr","False positive in unnecessarry_lambda_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2253","closed",2023-11-03 16:40:56,NA,"r-lib/lintr","Linter warnings bubble up as config formatting errors with confusing message","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2252","open",2023-10-31 15:42:24,NA,"r-lib/lintr","Support cli functions in `extract_glued_symbols()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2231","closed",2023-10-06 08:57:05,NA,"r-lib/lintr","unnecessary_lambda_linter() gets confused by indexing in lambda function","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2226","closed",2023-10-03 20:19:03,NA,"r-lib/lintr","Create condition_call_linter","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2222","closed",2023-10-03 12:30:19,NA,"r-lib/lintr","Enforce use of `call. = FALSE` in `stop()` and `warning()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2200","closed",2023-09-20 13:22:04,NA,"r-lib/lintr","`namespace_imports()` gets confused by `except` argument in `import()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2183","open",2023-09-18 12:18:32,NA,"r-lib/lintr","Constant sprintf() calls","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2130","closed",2023-09-09 12:29:44,NA,"r-lib/lintr","Lint comparison to ""NA"" and ""NULL""","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/actions/pull/735","closed",2023-06-08 17:12:34,NA,"r-lib/actions","Clean pkgdown website on releases","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1974","open",2023-06-07 13:24:34,NA,"r-lib/lintr","Make `backport_linter()` more informative by default","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/usethis/pull/1851","closed",2023-06-05 13:59:18,NA,"r-lib/usethis","Do not add covr to Suggests in `use_coverage()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/usethis/issues/1844","closed",2023-05-22 12:27:59,NA,"r-lib/usethis","Make `use_coverage()` add covr to `Config/Needs/coverage` rather `Suggests`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1965","open",2023-04-20 16:17:58,NA,"r-lib/lintr","Allow `expect_identical(names(x), names(y))`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/usethis/issues/1818","open",2023-04-06 09:52:01,NA,"r-lib/usethis","Allow `release_bullets()` to go in any section","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1951","open",2023-04-05 12:48:11,NA,"r-lib/lintr","New `tolerance_linter()` to detect use of `round()` instead of a custom `tolerance` value","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/1946","closed",2023-04-03 16:13:20,NA,"r-lib/lintr","Add missing spaces around ""and"" in glue_collapse()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/usethis/pull/1754","closed",2023-01-25 13:50:15,NA,"r-lib/usethis","Add reminder to run use_github_links()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1875","open",2022-12-23 17:12:47,NA,"r-lib/lintr","New linter to recommend using `%in%`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/1869","closed",2022-12-21 13:26:50,NA,"r-lib/lintr","Add `matrix_apply_linter()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/1866","closed",2022-12-20 18:09:05,NA,"r-lib/lintr","Add new map_vec() to purrr_mappers vector","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/issues/2258","open",2022-12-19 13:53:22,NA,"r-lib/pkgdown","Multilingual websites","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/issues/2257","closed",2022-12-19 12:17:00,NA,"r-lib/pkgdown","`override` is ignored in `as_pkgdown()` on `pkgdown` objects","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1816","closed",2022-12-08 17:11:23,NA,"r-lib/lintr","Recommend `any(x != x[1])` instead of `anyDuplicated(x) == 0L` in `any_duplicated_linter()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1805","open",2022-12-06 13:27:29,NA,"r-lib/lintr","`use_lintr()` should add `.lintr` to `.Rbuildignore`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/usethis/issues/1704","closed",2022-11-24 11:32:18,NA,"r-lib/usethis","Remind to add GitHub & pkgdown URLs for first release in `use_release_issue()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1764","closed",2022-11-06 13:07:58,NA,"r-lib/lintr","New `lint_colsums_rowsums()` linter","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1763","open",2022-11-06 12:44:48,NA,"r-lib/lintr","New `lint_setequal()` linter","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/actions/pull/649","closed",2022-10-24 15:25:03,NA,"r-lib/actions","Expose profile arg from renv::activate()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/actions/issues/648","closed",2022-10-24 13:44:38,NA,"r-lib/actions","Expose `profile` argument in `setup-renv`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/actions/pull/638","closed",2022-10-19 14:45:28,NA,"r-lib/actions","Rename lint-changed-files.yml to lint-changed-files.yaml","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/usethis/issues/1675","closed",2022-09-14 08:15:50,NA,"r-lib/usethis","`use_description(fields = list(Package = ""validname"")))` uses default name to check_name","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/pull/2193","closed",2022-09-07 16:24:23,NA,"r-lib/pkgdown","Fix link to issue for ko translation","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1531","closed",2022-09-06 16:28:19,NA,"r-lib/lintr","New linter: discourage the use of anonymous functions for trivial cases","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/1528","closed",2022-09-01 15:02:16,NA,"r-lib/lintr","Add sort_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1512","closed",2022-08-26 09:28:20,NA,"r-lib/lintr","New linter: recommend `sort(x)` over `x[order(x)]`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/1503","closed",2022-08-24 13:45:22,NA,"r-lib/lintr","lintr::object_length_linter() does not work in the case of dependencies with no exports","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/issues/2185","closed",2022-08-23 14:20:57,NA,"r-lib/pkgdown","Twitter card validator is not working","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/actions/pull/597","closed",2022-08-13 08:11:25,NA,"r-lib/actions","Deploy via GHA workflow instead of gh-pages branch","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/pkgdown/issues/2129","closed",2022-06-14 15:44:21,NA,"r-lib/pkgdown","has_concept() selector doesn't work since pkgdown 2.0.4","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/testthat/issues/1621","open",2022-05-10 09:37:37,NA,"r-lib/testthat","Add markdown reporter","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/actions/issues/554","closed",2022-04-30 15:13:28,NA,"r-lib/actions","Run apt-get update before apt-get install","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/actions/pull/539","closed",2022-03-24 15:30:46,NA,"r-lib/actions","Add option to disable cache","pull_request"
